url,min_depth,discovery_source,discovered_from,discovered_count,state,attempts,http_status,final_url,title,word_count,content_hash,error,discovered_at,started_at,finished_at,updated_at
https://admissions.uettaxila.edu.pk/Fees.php,0,seed,,1,failed_fetch_terminal,1,404,,,0,,HTTP 404,1788115430.2712348,1788115501.0425582,1788115503.137261,1788115503.137261
https://admissions.uettaxila.edu.pk/FeesForTechnologyPrograms.php,0,seed,,1,failed_fetch_terminal,1,404,,,0,,HTTP 404,1788115430.2712348,1788115500.764147,1788115503.0653636,1788115503.0653636
https://web.uettaxila.edu.pk/departmentfaculty?departmentId=1,0,seed,,1,discovered,0,0,,,0,,not scheduled because configured URL limit was reached,1788115430.2712348,,,1788115430.4374335
